Collection_Head,Name,Text,Year,Start,End,Loc,Page_drawer,Drawer_No,Link,Coll_head,Collection,Author_Identity,Country,Continent
"Orr, John M.","Orr, John M.","Orr, John M. Papers, 1774-1911  Leesburg, Loudoun Co., Va.  750 items added, 3-24-34 11-5-33 45 items added, 10-29-35 (See also bound items added, 9-25-50  85 ol. cards 13 items added -16-62 yeh. Smee? 7 fom added,’ 5217-51",1774-1911,1774,1911,"Leesburg, Va.",645,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n645,1,10098,Male,USA,North America
"Orr, John M. Collection","Orr, John M. Collection","Orr, John M. Collection account. 1848-1857  Leesburg, Virginia  NOV5S 1933",1848-1857,1848,1857,"Leesburg, Virginia",648,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n648,1,10099,Male,USA,North America
"Orr, John M. Collection","Orr, John M. Collection","Orr, John M. Collection book. 1854-1861.  Leesburg, Virginia  NOV5 1933",1854-1861,1854,1861,"Leesburg, Virginia",649,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n649,1,10100,Male,USA,North America
"Orr, John M.","Orr, John M.",": M-3230 Treasure tkoom M-S%240./ M-9 230.2  Orr, John M. Ds Copies of bonds, etc. 3 vols. 1847-54  Leesburg, Virginia",1847-54,1847,1854,"Leesburg, Virginia",650,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n650,1,10101,Male,USA,North America
"Orr, John M.","Orr, John M.","Orr, John M. Court record. 1847-1856  Fauquier county, Virginia  NOVS 1933",1847-1856,1847,1856,"Fauquier county, Virginia",651,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n651,1,10102,Male,USA,North America
"Orr, John M.","Orr, John M.","John M. and Arthur Lee Rogers. grr, ° Day book. 1854-55  Leesburg, Virginia  NOV 5 1933  L- 3232",1854-55,1854,1855,"Leesburg, Virginia",652,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n652,1,10103,Male,USA,North America
"Orr, John M.","Orr, John M.","Orr, John M.  Day book. 1861-1875.  Leesburg, Virginia  ‘ 939 yore",1861-1875,1861,1875,"Leesburg, Virginia",653,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n653,1,10104,Male,USA,North America
"Orr, John M.","Orr, John M.","Orr, Je Me  Execution book — Loudoun county superior court. 1847-53  Loudoun county, Virginia  NOV5 1938",1847-53,1847,1853,"Loudoun, Loudoun county, Virginia",654,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n654,1,10105,Male,USA,North America
"Orr, John M.","Orr, John M.","Treasure Roem  Orr, John M. Ledger, 1846-1870.  Leesburg, Virginia",1846-1870,1846,1870,"Leesburg, Virginia",657,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n657,1,10108,Male,USA,North America
"Orr, John M.","Orr, John M.","Orr, John M.  Memoranda for suits, etc. Orr and Rogerse 1854-1860.  +  rLeesburg, Virginia,  NOV3 1933",1854-1860,1854,1860,Virginia,658,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n658,1,10109,Male,USA,North America
"Orr, John M.","Orr, John M.","Orr, John M. Memorandum book for suits. 1861-1871.  Leesburg, Virginia  NOV 5 1939",1861-1871,1861,1871,"Leesburg, Virginia",659,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n659,1,10110,Male,USA,North America
"Ortiz, Bobbye S.","Ortiz, Bobbye S.","Ortiz, Bobbye S.  Papers, ca. 1960s-1980s. 4,500 items (6.0 lin. ft.)  Chiefly the subject files and post card collection of Ortiz who was active in various international women’s organizations from the 1940s to the late 1980s. Women’s groups and issues in Latin America, Africa, and Southeast Asia predominate these materials. Also included are numerous’- taped interviews with Cuban women (ca. 1960s) and Chinese women (ca. 1970s).  Gift: 7/30/92  Accessioned: 9/25/92 &  Acc. No.: 92-077",1960s-1980,1960,1980,"Latin America, Africa, Southeast Asia",664,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n664,1,10114,Female,USA,North America
"Osborne, Archibald ,","Osborne, Archibald ,","e 6th 22:C Osborne, Archibald, Dre - yenlgaaa books, 1901-1918- Ve Doctor from Berryville, Vae Collection consists of account books from Osborne's early careere He started out in Purcellville and tater moved to Berryville, Vae Unprocessed collectione Cataloged 7 accession recordse cs  16 APR 97 36752565 NDHYme",1901-1918,1901,1918,Purcellville,674,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n674,1,10118,Male,USA,North America
"Osborne, John R","Osborne, John R","Osborne, John R, Letters and Papers, 1882-1896 Bethany, Davidson County, N.C. 484 pieces  Cabinet 85  © boxes  MAY 3 1 1941",1882-1896,1882,1896,Davidson County,675,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n675,1,10119,Male,USA,North America
"Osborne, Sidney","Osborne, Sidney","Oab orgs. Sidney Godolphin, Lord, 1808-  1861-1889.  Anglican clergyman and philanthropiste Rector of Durweston, Dorset, 1841-18756  Letter, 1861 December 20, to Robert John Eden, Baron: Auckland, concerning Osborne's search for a new curate and his collection of plant, insect, and animal specimense Also an obituary of Osborne from the West London Newse  1. Auckland, Robert John Eden, Baron, 1799-18704. 2e Church of England-- Clergye 3e Dorset (England )—-Church historye 4. Natural history-- Catalogs and collections-—--Englande Ie Place: Eng land--Dorsete  28 MAR 89 19464991 NDHYme",1861-1889,1861,1889,Baron,681,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n681,1,10120,Male,USA,North America
"Osborne, W. H.","Osborne, W. H.","e Small Colle  Osborne, We  He Letters, 1904-1913. 12 itemse  Washington, DeCe residente  Collection contains Letters from various peo  e about the recommendation of ReMe Bolt  ing for a position in the Internal Revenue Departaente  Unprocessed collectione  Cataloged from accession recordse ¥lcs  36752596 NDHYme  16 APR 97",1904-1913,1904,1913,"Washington, DeCe",684,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n684,1,10122,Unknown,USA,North America
"Osburn, Adeline","Osburn, Adeline","Osburn, Adeline  Papers, 1834-1886  Carroll Co. Avondale ,“ Md. P >]  Section A 28 items",1834-1886,1834,1886,,685,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n685,1,10123,Female,Unknown,Unknown
"Osgood, Frances Sargent","Osgood, Frances Sargent","Osgood, Frances Sargent (Locke) Papers, n. d. (between 1846-1850) New York, N. Y.  Section A 3 items  3- 4-55  GUIDE",1846-1850,1846,1850,New York,688,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n688,1,10125,Female,USA,North America
"Osgood, Stephen","Osgood, Stephen","Osgood, Stephen Papers, 1861-1865  Georgetown, Essex Co., Mass.  Cab. 48 43 items  11-23-62",1861-1865,1861,1865,"Mass., Cab",693,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n693,1,10128,Male,USA,North America
"O'Shaughnessy, Arthur W.","O'Shaughnessy, Arthur W.","O'Shaughnessy, Arthur William Edgar Papers, 1859-1881 London, England  XVIII. G 161 items 11 items add,  Feb, 1951 5-21-52  9 items added, 9-20-65  GUIDE",1859-1881,1859,1881,"London, England",703,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n703,1,10129,Male,USA,North America
"Osler, Sir William","Osler, Sir William","Osler, Sir William. Papers, 1902-1917 Oxford, Oxford Co., England.  Josiah C. Trent Collection in the History of Medicine--. Div.  4-8-80",1902-1917,1902,1917,England,713,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n713,1,10130,Male,England,Europe
"O'Sullivan, Timothy H.","O'Sullivan, Timothy H.","O'Sullivan, Timothy H. Papers, 1868-1873 West Brighton, Richmond Co., New York SES SHELF LIST 35 items  1-9-71 Recataloged, 3-31-82",1868-1873,1868,1873,New York,716,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n716,1,10131,Male,USA,North America
"Otey, John M.","Otey, John M.","Otey, John M., Papers, 1864-1865  Augusta, Richmond Co., Ga., and v.p.  Section A 35 items 1 item added, 11-6-57  5-5-41 1 item added, 3-2-73",1864-1865,1864,1865,"Otey, Augusta, Ga.",741,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n741,1,10132,Male,USA,North America
"Otis, Brookse Lette","Otis, Brookse Lette","e 6th 17:C Otis, Brookse Letter, 1949. 1 iteme Professor at Hobart College, Geneva, NeYe Letter is from Ge Santayana to Otis, requesting his permission to republish an article that appeared in ""The New Frontier,"" which was edited and published by Otise The article was related to the philosophy of governmente Unprocessed collectione Cataloged from accession recordse *lcs Ie Santayana, George, 1863-1952.  16 APR 97 36752592 NDHYme",1863-1952,1863,1952,Geneva,747,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n747,1,10134,Male,USA,North America
"Otis, Harrison Gray","Otis, Harrison Gray","e 6th 16:C Otis, Harrison Gray, 1765-1848. Letter, 1803-6 1 iteme Boston, Masse Lawyer and political figuree Letter is written to Otis from Alexander Hamilton, and discusses a civil suit related to trade between a  New Jersey company and Para, Brazile Hamilton mentions evidence from Portugale  Unprocessed collectione Cataloged from accession recordse  *lcs  16 APR 97 36752586 NDHYme",1765-1848,1765,1848,"Boston, Masse Lawyer, New Jersey, Para",748,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n748,1,10135,Male,USA,North America
"Toole, John E.","Toole, John E.",". DOSS 28:L:9-M:7 O* Toole, John E-  Papers, 4 £860? }- 2988.  cae 12,600 items.  Advertising executive associated with the Foote, Cone, & Belding advertising agency, and Later with the American Association of Advertising Agenciese Died in 1995-e  Book files; speeches, and subject filese Subjects files contain information on the tobacco industry, trade organizations, advertising agency organizations, international offices, annual reports, budgets, and clientse The majority of the materials relate to the period du ring O'Toole's career at Foote, con@>=. & Belding.  Unprocessed  collectione Cataloged 18 Nov. 97 37954474 NDHYme SEE NEXT CRD",1960-1988,1960,1988,,749,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n749,1,10136,Male,Unknown,Unknown
"Ottwell, Joshua R.","Ottwell, Joshua R.","OTTWELL, Joshua R. Letters, 1854-1880.  Mercer county, Illinois  Section A 41 items  GUIDE  JUL 12 ""46 a",1854-1880,1854,1880,Mercer county,751,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n751,1,10137,Male,USA,North America
"Ouseley, Sir Gore","Ouseley, Sir Gore","Ouseley, Sir Gore, First Baronet  Papers, 13812-1831  Hall Barn Park, Buckiaghamshire, England AVili-i 4 items  4.103-63",1812-1831,1812,1831,"Hall Barn Park, Buckiaghamshire",754,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n754,1,10139,Male,USA,North America
"Overcash, Joseph","Overcash, Joseph","Overcash, Joseph Papers, 1846(1860-1863)1865 Deep Well, Iredell co., North Carolina  Gab. 45 12-8-51 92 items  GUIDE",1860-1863,1860,1863,"North Carolina, Gab",764,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n764,1,10142,Male,USA,North America
"Overy, Charles ,","Overy, Charles ,","e Small Colle  Overy, Charles, Mrse  Letters, 1825-18906.  81 itemse  Michigan residente  Collection contains letters of various members of the Overy familye Correspondents were often relatives with the Last name of Woode It appears from one group of letters that there were brothers by the name of Charles Overy, whose wives were each named Harriete One of the Charles, also had a sony, Charles, who entered the ist brigade of the 7th Miche Cavalry near the end of the Civil Ware In two Letters he de tails some Indian fightinge J  Unprocessed collectione Cataloged  16 APR 97 36752594 NDHYme SEE NEXT CRD",1825-1890,1825,1890,"Michigan, Woode, the Civil Ware",767,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n767,1,10143,Male,USA,North America
"Owen, Lyman","Owen, Lyman","e 2nd 90:F (Box 3) Owen, Lymane Letters, 1936-1937 and nede 20 items. Literary critice Letters to Owen, chiefly from author Richard Curle, critic and student of Joseph Conrade Includes individual letters from Jessie Conrad (wife of  ——— and from Hugh Walpole.  d  1. Conrad, Joseph, 1857-1924. 2.6 English literature--History and criticisme Ie Curley, Richard, 1883- 1968. IIe Conrad, Jessiee III- Walpole, Hugh, Sir, is84-1941-  10 AUG 98 39670120 NDHYme",1936-1937,1936,1937,Hugh,772,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n772,1,10146,Male,USA,North America
"Owen, Sir Richard","Owen, Sir Richard","Owen, Sir Richara.  Papers, 1837-1866  London, Middlesex Co., England.  Josiah C. Trent Collection in the History of Medicine--. Div.  4-8-80  3 items.",1837-1866,1837,1866,"London, England",773,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n773,1,10147,Male,USA,North America
"Owen, Thomas McAdory","Owen, Thomas McAdory","Owen, Thomas McAdory  Papers, 1909-ca. 1920  Montgomery, Montgomery Co., Alabama Cab. 80 4 items & 1 vol.  12-13-39 Recataloged, 2-11-78",1909-ca. 1920,1909,1920,,775,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n775,1,10148,Male,Unknown,Unknown
Oxford. University. Rhodes House Library,Oxford. University. Rhodes House Library,"Oxford. University. Rhodes House Library. The Rhodes House anti-slavery papers; material relating to America from the anti- slavery collection in Rhodes House, Oxford;  mainly 1839-1868. Introd. by Howard R. Tempertey. [East Ardsley, Wakefield, Eng.,  Micro Methods, Ltd.] 1963. 2 reels. 35 mm. (British records rela- ting to America in microform, Series B, 5283)  7-29-64",1839-1868,1839,1868,"America, Introd, East Ardsley, Wakefield",791,207,https://archive.org/details/rubensteinmanuscriptcatalog_No_to_Oz/page/n791,1,10158,Org.,USA,North America
"Paca, William","Paca, William","Paca, William, 1740-17996  Letters, 1782-1783.  4 itemse  Governor of Marylande  Collection consists of four letters addressed to Pacae Most are requests from various persons, eCegey a British prisoner asking for his freedom and permission to settte in Annapolis with his family, a Maryland Representative writing on behalf of a woman seeking restitution for personal losses to the British, and a Baltimore man seeking an official pass to visit New York City on businesse Another letter inventories the losses in the 1783 fire at the Annapolis arm orye  Unprocessed collectione Cataloged fro m accession recorde  10 MAY 9 32452492 NDHYme SEE NEXT CRD",1740-1799,1740,1799,"Pacae, Annapolis, Maryland, Baltimore, New York City",3,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n3,1,10162,Male,USA,North America
"Pace, Wesley W.","Pace, Wesley W.","Pace, Wesley W Stamps for special Tobacco Tax. 1873-1877 Raleigh, North Carolina ‘Section A 7 shaeee June 14, 1939",1873-1877,1873,1877,North Carolina,5,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n5,1,10163,Male,USA,North America
"Pace, William A.","Pace, William A.","Pace, William A. Papers, 1862-1863  Lynchburg, Va.  Cab. 80 1946  11 items",1862-1863,1862,1863,"Lynchburg, Va., Cab",6,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n6,1,10164,Male,USA,North America
"Pack, Anderson and Vawter","Pack, Anderson and Vawter","| F- 3042 [Pack, Anderson and | Vawter? ] sam  Day Book, 1848-49 [Fayette County, Va.] 282 pp. Calf * 37 x 15 om.  Merchant's day book,  AUG 22 ""4g  GUIDE",1848-49,1848,1849,"Fayette County, Va.",8,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n8,1,10165,Org.,USA,North America
"Page, Curtis Hidden","Page, Curtis Hidden","Page, Curtis Hidden  Papers, 1895-1929  Gilmanton, Belknap Co., N. He Section A 5 items  1 item added, 6-21-67 2-23-62 1 item added, 2-1-73",1895-1929,1895,1929,Gilmanton,9,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n9,1,10166,Male,USA,North America
"Page, Elizabeth","Page, Elizabeth","Page, Elizabeth Letters. 1803-1846  Shelley, Gloucester Co, Va.  Section A 34 pieces,",1803-1846,1803,1846,Va.,12,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n12,1,10167,Female,USA,North America
"Page, James Jellis","Page, James Jellis","Page, James Jellis  Papers, 1843-1972  Cumberland County, Virginia 9-C 27 items & 1 vol. 10-20-73",1843-1972,1843,1972,"Cumberland County, Virginia",18,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n18,1,10168,Male,USA,North America
"Page, John","Page, John","Page, John Letters and Papers. 17777-1806.  Rosewell, Gloucester County, Virginia  Section A 23 pieces  3-4-52 3 "" added JAN 2.2 1937 e-woy 1 °",17777-1806,1777,1806,"Gloucester County, Virginia",25,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n25,1,10169,Male,USA,North America
"Page, Richard Lucian","Page, Richard Lucian","Page, Richard Lucian Papers, 1857-1860 Norfolk, Va.  2-E  12-29-77",1857-1860,1857,1860,"Norfolk, Va.",33,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n33,1,10171,Male,USA,North America
"Page, Robert Newton","Page, Robert Newton","Page, Robert Newton  Papers, 1892(1916-1920)1930 Montgomery Co., Steose, 5. C. & Washington,  éee. VII-, GU/DF1i-11-52 (See also bound 529 a FF  ig  vol. cards )  D. C.  3541 items and 1 vol. 778 items dis-  carded",1916-1920,1916,1920,,37,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n37,1,10173,Male,Unknown,Unknown
"Page, Thomas Nelson","Page, Thomas Nelson","Page, Thomas Nelson Papers, 1739-1926 Richmond, Va. and Washington, D.C. 20-B Box. list in item added, 7-8-68 item added, 1-15-71  Tnventory File items added, 12-13-77 item added, 7-6-84",1739-1926,1739,1926,"Richmond, Va., Washington",55,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n55,1,10177,Male,USA,North America
"Page, Thomas Nelson","Page, Thomas Nelson","feantire Room re va Page, Thomas Nelson Scrapbook (Clippings), ca. 1889-1914 (""ashington, D.C.]  69 pp. Boards and leather 40 x 29 cn,",1889-1914,1889,1914,,91,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n91,1,10180,Male,Unknown,Unknown
"Page, Walter Hines","Page, Walter Hines","Page, Walter Hines Papers, 1889-1917 New York, N. Y,  Section A 20 items 1 item added, 11-30-71  Recataloged, 11-29-71 1 item added, 9-5-72 1 item added, 12-13-77",1889-1917,1889,1917,New York,92,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n92,1,10181,Male,USA,North America
"Page, Yelverton Peyton","Page, Yelverton Peyton","Page, Yelverton Peyton Papers, 1844 (1851-1906) 1920 Washington, D.C.  XVII-A 161 items  12-19-57 1 it 6-11-56 ™  GUIDE",1851-1906,1851,1906,"Washington, D.C.",98,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n98,1,10182,Male,USA,North America
"Paget, Sir James","Paget, Sir James","Paget, Sir James. Papers, 1880-1908 London, Middlesex Co., England  Josiah C. Trent Collection in the History of Medicine--. Div.  4-8-60  4 items.",1880-1908,1880,1908,London,123,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n123,1,10185,Male,USA,North America
"Paine, Thomas","Paine, Thomas","Paine, Thomas, 1737-18096  Papers, 1914-1930-  3 itemse  Revolutionary War political writere  Collection consists of printed material relating to Paine's New York house; to the Paine Monument in New Rochelle, NeYes; and to the Thomas Paine Historical Associatione  Cataloged from Guide and manual recorde  ¥*lcs  le Paine, Thomas, 1737-1809~-—Homes and hauntse 2e Paine, Thomas, 1737- 1809——Monumentse 3-e History-—- Societies, etce  19 MAR 98 38744934 NDHYme",1737-1809,1737,1809,"New York, New Rochelle",126,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n126,1,10187,Male,USA,North America
"Palgrave, Sir Reginald Francis","Palgrave, Sir Reginald Francis","Palgrave, Sir Reginald Francis Douce Papers, 1878-1886 London, England  XVIII-& 2 items  44.68",1878-1886,1878,1886,London,132,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n132,1,10190,Male,USA,North America
"Palliser, Hugh, Sir","Palliser, Hugh, Sir","Palliser, Hugh, Sir, 1723-1796. Note, 1770s?e 1 iteme British Admirale A note on the cover of a missing Llettere The note refers to the enclosed Letter on the 14th from Palliser, who has given intelligence information to the British regarding a vessel that is to be purchased or detained for His Majesty's usee Unprocessed collectione Cataloged from accession recorde * lbp Great Britain-——History-——1760—1789- Ships--Great Britaine  10 MAY 95 32452504 NDHYme",1723-1796,1723,1796,Hugh,136,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n136,1,10191,Male,USA,North America
"Palmer, Adeline (Osborne)","Palmer, Adeline (Osborne)","Palmer, Adeline (Osborne) -  Papers, 1853-1935  Rippon, Jefferson Co., . Va. Cab. 43 110 items 3-16-57  ry * a oe . aes 7 hy",1853-1935,1853,1935,Va.,138,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n138,1,10193,Female,USA,North America
Palmer Family,Palmer Family,"Palmer, Benjamin Morgan  Letters, 1836 - 1860  Columbia, South Carolina Section A 5 items  Dec. 6, 1940",1836 - 1860,1836,1860,"Columbia, South Carolina",146,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n146,1,10195,Org.,USA,North America
"Paluier, Benjamin Morgan","Paluier, Benjamin Morgan","Paluier, Benjamin Morgan, Letters, 1836-1860. Columbia, South Carolina, 5 items, Sketch.     Letters from Benjamin M, Palmer (1818-1902), minister of the Southern Presbyterian Church and co-fotinder of the Southern Presbyterian Review, concerning ecclesiastical and literary  Matters, Included also is a letter from James Henley Thornwell.",1836-1860,1836,1860,"Columbia, South Carolina",147,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n147,1,10196,Male,USA,North America
"Palmer, Charles","Palmer, Charles","Palmer, Charles Papers, 1852-1864  Mansfield, Richland co., Ohio  Section A 12-10-51 55 items  GUIDE",1852-1864,1852,1864,Ohio,148,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n148,1,10197,Male,USA,North America
"Palmer, Chas .","Palmer, Chas .","Palmer, Chas. Papers, 1852-64 Mansfield, Ohio 355 items Sketch,     A letter from R. Ward of Edgefield dist., S.C, to C, Palmer in Mansfield, Ohio states that Ward was almost lost on a ship on which Jenny Lind was also sailing. There are @ivil  Wer letters from Joseph H., H. G., and Jabez S. Palmer, who appear to have been brothers of Charles, and from A, Newman of the Army of the Cumberland, These letters tell of camp life food, delievery of the bodies of Gen. - Zollicoffer and Col. Payton, and of the advan-",1852-64,1852,1864,"Mansfield, Ohio, R. Ward, Edgefield",149,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n149,1,10198,Male,USA,North America
"Palmer, H.","Palmer, H.","Palmer, He [Be?]  Letter : to Charles Se Palmer, 18656  1 iteme  Union soldiere  Letter from Palmer to his father, Charles Se Palmer of Mansfield, Ohioy while serving with an unidentified Union regiment at Athens, Alae  Unprocessed collectione Cataloged from accession recorde  * Lbp  1e United States--History--Civil War, 1861-1865-e 2- Soldiers-— Corre spondence-—-History--19th centurye 3e Ohio—--Mansfielde  10 MAY 95 32452479 NDHYme",1861-1865,1861,1865,Athens,151,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n151,1,10200,Male,USA,North America
"Palmer, John S","Palmer, John S","Palmer, John S, War Letters, 1861-1864 Eutaw, South Carolina  Section A 5 pieces.  MAY 30 1941",1861-1864,1861,1864,South Carolina,152,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n152,1,10201,Male,USA,North America
"Palmer, Polly ,","Palmer, Polly ,","Done  Palmer, Polly, fle 1777-1784.  Letters, 1777-{ 18--?] (bulk 1777- 1784).  15 itemse  Resident of Germantown, Pae  Primarily correspondence from Palmer to Elizabeth Mayhew of Boston, Masse While it is not entirely clear from the letters, Elizabeth was probably the daughter Johnathan Mayhew, a prominent Congregational ministere These highly personal letters chiefly pertain to the friendship between the two womene Within the correspondence there are few references to the Revolution or any other political and social eventse However, in a Letter of April 19, 1778, Palmer @ eter: to April 19th as ""a day tha t will always be  29 JUL 93 28533948 NDHYme SEE NEXT CRD",1777-1784,1777,1784,"Boston, Masse",156,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n156,1,10203,Female,USA,North America
"Palmer, Robert","Palmer, Robert","Palmer, Robert  papers, 1761-1764  Tarboro, Edgecombe CO., Ne Ce cab. 40 2 volumes  7-11-58 Recataloged, 9-16-68",1761-1764,1761,1764,,158,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n158,1,10204,Male,Unknown,Unknown
"Palmer, William Kimber","Palmer, William Kimber","Recon,  Palmer, William Kimberley Works and Notebooks. 1934-1937 Chicopee, Mass.  Cabinet 79 3 items. 437 pages  MAY 30 1941",1934-1937,1934,1937,"Chicopee, Mass.",164,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n164,1,10206,Male,USA,North America
Palmer Family,Palmer Family,"Palmer Family Done Papers, 1841-1907 v.p. in New Hampshire  Section A 63 items  3-7-62 Recatalogued, 1-17-68",1841-1907,1841,1907,New Hampshire,169,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n169,1,10208,Org.,USA,North America
"Palmes, George F.","Palmes, George F.","Palmes, George F.  Papers, 1811-1871  Savannah, Chatham County, Georgia cab. 45 37 items  2 items & 2 vols. added, 11-5-33 45-67",1811-1871,1811,1871,"Savannah, Chatham County, Georgia",177,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n177,1,10210,Male,USA,North America
Palmetto Guard,Palmetto Guard,"e L:2245 Palmetto Guarde ial 1877-1882. Ve Charlestoam, SeCe Confederate regimente ; Collection consists of the minutes (300p-) of the meetings of the Palmetto Guard (2nd SeCe Regiment), including copies of correspondencee Cataloged from Guide and manual recorde *lcs 1e Confederate States of Americae Armye South Carolina Infantry Regiment, 2nde 2e Confederate States of Americae Army-—-Correspondencee 3- Charleston — War, 1861- *  19 MAR 98 38744877 NDHYme",1877-1882,1877,1882,Charleston,181,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n181,1,10211,Org.,USA,North America
Palmetto Guard,Palmetto Guard,"Palmetto Guard Minutes, 1877-82 Charleston, S.C.  300 pp. Boards  AUc 9 ""46  GUIDE",1877-82,1877,1882,"Charleston, S.C.",182,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n182,1,10212,Org.,USA,North America
"Panas, Photinos","Panas, Photinos","Panas, Photinos (1822-1903). Papers, 1880. Hh + rrance,  Josiah C. Trent Collection in the History of Medicine--, Div.",1822-1903,1822,1903,,184,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n184,1,10214,Unknown,Unknown,Unknown
"Pancoast, Joseph","Pancoast, Joseph","Pancoast, Joseph (1805-1882). Papers, 1801 Philadelphia, Philadelphia Co., Pennsylvania.  Josiah C. Trent Collection in the 1 item. History of Medicine--, Div.  4-8-80",1805-1882,1805,1882,"Philadelphia, Pennsylvania",186,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n186,1,10215,Male,USA,North America
Pankey Family,Pankey Family,"Pankey Family Papers, 1829-1899  Campbell Co., Va.  Section A  7-22-57  GUIDE  21 items",1829-1899,1829,1899,Va.,188,208,https://archive.org/details/rubensteinmanuscriptcatalog_P_to_Peo/page/n188,1,10217,Org.,USA,North America
